team,stat,value,class,table,target,league,country,season
Arg Juniors,PL,29.0,,Standard,For,Liga Profesional,Argentina,2024
Atlé Tucumán,PL,26.0,,Standard,For,Liga Profesional,Argentina,2024
Banfield,PL,34.0,,Standard,For,Liga Profesional,Argentina,2024
Barracas Central,PL,27.0,,Standard,For,Liga Profesional,Argentina,2024
Belgrano,PL,33.0,,Standard,For,Liga Profesional,Argentina,2024
Boca Juniors,PL,36.0,,Standard,For,Liga Profesional,Argentina,2024
Cen. Córdoba–SdE,PL,37.0,,Standard,For,Liga Profesional,Argentina,2024
Defensa y Just,PL,32.0,,Standard,For,Liga Profesional,Argentina,2024
Deportivo Riestra,PL,29.0,,Standard,For,Liga Profesional,Argentina,2024
Estudiantes,PL,31.0,,Standard,For,Liga Profesional,Argentina,2024
Gimnasia–LP,PL,35.0,,Standard,For,Liga Profesional,Argentina,2024
Godoy Cruz,PL,33.0,,Standard,For,Liga Profesional,Argentina,2024
Huracán,PL,27.0,,Standard,For,Liga Profesional,Argentina,2024
Independiente,PL,31.0,,Standard,For,Liga Profesional,Argentina,2024
Independiente Rivadavia,PL,35.0,,Standard,For,Liga Profesional,Argentina,2024
Instituto,PL,22.0,,Standard,For,Liga Profesional,Argentina,2024
Lanús,PL,30.0,,Standard,For,Liga Profesional,Argentina,2024
Newell's OB,PL,36.0,,Standard,For,Liga Profesional,Argentina,2024
Platense,PL,32.0,,Standard,For,Liga Profesional,Argentina,2024
Racing Club,PL,29.0,,Standard,For,Liga Profesional,Argentina,2024
River Plate,PL,36.0,,Standard,For,Liga Profesional,Argentina,2024
Rosario Central,PL,30.0,,Standard,For,Liga Profesional,Argentina,2024
San Lorenzo,PL,34.0,,Standard,For,Liga Profesional,Argentina,2024
Sarmiento,PL,35.0,,Standard,For,Liga Profesional,Argentina,2024
Talleres,PL,31.0,,Standard,For,Liga Profesional,Argentina,2024
Tigre,PL,31.0,,Standard,For,Liga Profesional,Argentina,2024
Unión,PL,25.0,,Standard,For,Liga Profesional,Argentina,2024
Vélez Sarsfield,PL,31.0,,Standard,For,Liga Profesional,Argentina,2024
Arg Juniors,Edad,25.6,,Standard,For,Liga Profesional,Argentina,2024
Atlé Tucumán,Edad,27.2,,Standard,For,Liga Profesional,Argentina,2024
Banfield,Edad,26.6,,Standard,For,Liga Profesional,Argentina,2024
Barracas Central,Edad,25.8,,Standard,For,Liga Profesional,Argentina,2024
Belgrano,Edad,27.6,,Standard,For,Liga Profesional,Argentina,2024
Boca Juniors,Edad,28.2,,Standard,For,Liga Profesional,Argentina,2024
Cen. Córdoba–SdE,Edad,24.9,,Standard,For,Liga Profesional,Argentina,2024
Defensa y Just,Edad,26.0,,Standard,For,Liga Profesional,Argentina,2024
Deportivo Riestra,Edad,30.2,,Standard,For,Liga Profesional,Argentina,2024
Estudiantes,Edad,29.0,,Standard,For,Liga Profesional,Argentina,2024
Gimnasia–LP,Edad,28.2,,Standard,For,Liga Profesional,Argentina,2024
Godoy Cruz,Edad,26.1,,Standard,For,Liga Profesional,Argentina,2024
Huracán,Edad,28.9,,Standard,For,Liga Profesional,Argentina,2024
Independiente,Edad,27.8,,Standard,For,Liga Profesional,Argentina,2024
Independiente Rivadavia,Edad,27.9,,Standard,For,Liga Profesional,Argentina,2024
Instituto,Edad,26.0,,Standard,For,Liga Profesional,Argentina,2024
Lanús,Edad,29.6,,Standard,For,Liga Profesional,Argentina,2024
Newell's OB,Edad,27.5,,Standard,For,Liga Profesional,Argentina,2024
Platense,Edad,26.6,,Standard,For,Liga Profesional,Argentina,2024
Racing Club,Edad,27.1,,Standard,For,Liga Profesional,Argentina,2024
River Plate,Edad,28.2,,Standard,For,Liga Profesional,Argentina,2024
Rosario Central,Edad,28.2,,Standard,For,Liga Profesional,Argentina,2024
San Lorenzo,Edad,26.2,,Standard,For,Liga Profesional,Argentina,2024
Sarmiento,Edad,28.6,,Standard,For,Liga Profesional,Argentina,2024
Talleres,Edad,27.1,,Standard,For,Liga Profesional,Argentina,2024
Tigre,Edad,25.0,,Standard,For,Liga Profesional,Argentina,2024
Unión,Edad,27.0,,Standard,For,Liga Profesional,Argentina,2024
Vélez Sarsfield,Edad,27.1,,Standard,For,Liga Profesional,Argentina,2024
Arg Juniors,Pos.,60.8,,Standard,For,Liga Profesional,Argentina,2024
Atlé Tucumán,Pos.,46.6,,Standard,For,Liga Profesional,Argentina,2024
Banfield,Pos.,46.8,,Standard,For,Liga Profesional,Argentina,2024
Barracas Central,Pos.,50.9,,Standard,For,Liga Profesional,Argentina,2024
Belgrano,Pos.,51.2,,Standard,For,Liga Profesional,Argentina,2024
Boca Juniors,Pos.,55.8,,Standard,For,Liga Profesional,Argentina,2024
Cen. Córdoba–SdE,Pos.,57.9,,Standard,For,Liga Profesional,Argentina,2024
Defensa y Just,Pos.,54.4,,Standard,For,Liga Profesional,Argentina,2024
Deportivo Riestra,Pos.,34.2,,Standard,For,Liga Profesional,Argentina,2024
Estudiantes,Pos.,59.2,,Standard,For,Liga Profesional,Argentina,2024
Gimnasia–LP,Pos.,49.3,,Standard,For,Liga Profesional,Argentina,2024
Godoy Cruz,Pos.,48.7,,Standard,For,Liga Profesional,Argentina,2024
Huracán,Pos.,46.8,,Standard,For,Liga Profesional,Argentina,2024
Independiente,Pos.,47.9,,Standard,For,Liga Profesional,Argentina,2024
Independiente Rivadavia,Pos.,43.8,,Standard,For,Liga Profesional,Argentina,2024
Instituto,Pos.,45.0,,Standard,For,Liga Profesional,Argentina,2024
Lanús,Pos.,42.9,,Standard,For,Liga Profesional,Argentina,2024
Newell's OB,Pos.,50.0,,Standard,For,Liga Profesional,Argentina,2024
Platense,Pos.,41.0,,Standard,For,Liga Profesional,Argentina,2024
Racing Club,Pos.,55.4,,Standard,For,Liga Profesional,Argentina,2024
River Plate,Pos.,67.3,,Standard,For,Liga Profesional,Argentina,2024
Rosario Central,Pos.,51.1,,Standard,For,Liga Profesional,Argentina,2024
San Lorenzo,Pos.,57.3,,Standard,For,Liga Profesional,Argentina,2024
Sarmiento,Pos.,32.6,,Standard,For,Liga Profesional,Argentina,2024
Talleres,Pos.,53.3,,Standard,For,Liga Profesional,Argentina,2024
Tigre,Pos.,51.9,,Standard,For,Liga Profesional,Argentina,2024
Unión,Pos.,47.3,,Standard,For,Liga Profesional,Argentina,2024
Vélez Sarsfield,Pos.,51.3,,Standard,For,Liga Profesional,Argentina,2024
Arg Juniors,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Atlé Tucumán,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Banfield,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Barracas Central,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Belgrano,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Boca Juniors,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Cen. Córdoba–SdE,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Defensa y Just,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Deportivo Riestra,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Estudiantes,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Gimnasia–LP,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Godoy Cruz,PJ,11.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Huracán,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Independiente,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Independiente Rivadavia,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Instituto,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Lanús,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Newell's OB,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Platense,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Racing Club,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
River Plate,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Rosario Central,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
San Lorenzo,PJ,11.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Sarmiento,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Talleres,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Tigre,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Unión,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Vélez Sarsfield,PJ,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Arg Juniors,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Atlé Tucumán,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Banfield,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Barracas Central,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Belgrano,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Boca Juniors,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Cen. Córdoba–SdE,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Defensa y Just,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Deportivo Riestra,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Estudiantes,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Gimnasia–LP,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Godoy Cruz,Titular,121.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Huracán,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Independiente,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Independiente Rivadavia,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Instituto,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Lanús,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Newell's OB,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Platense,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Racing Club,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
River Plate,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Rosario Central,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
San Lorenzo,Titular,121.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Sarmiento,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Talleres,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Tigre,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Unión,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Vélez Sarsfield,Titular,132.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Arg Juniors,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Atlé Tucumán,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Banfield,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Barracas Central,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Belgrano,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Boca Juniors,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Cen. Córdoba–SdE,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Defensa y Just,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Deportivo Riestra,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Estudiantes,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Gimnasia–LP,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Godoy Cruz,Mín,990.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Huracán,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Independiente,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Independiente Rivadavia,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Instituto,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Lanús,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Newell's OB,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Platense,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Racing Club,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
River Plate,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Rosario Central,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
San Lorenzo,Mín,990.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Sarmiento,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Talleres,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Tigre,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Unión,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Vélez Sarsfield,Mín,1080.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Arg Juniors,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Atlé Tucumán,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Banfield,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Barracas Central,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Belgrano,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Boca Juniors,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Cen. Córdoba–SdE,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Defensa y Just,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Deportivo Riestra,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Estudiantes,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Gimnasia–LP,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Godoy Cruz,90 s,11.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Huracán,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Independiente,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Independiente Rivadavia,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Instituto,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Lanús,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Newell's OB,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Platense,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Racing Club,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
River Plate,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Rosario Central,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
San Lorenzo,90 s,11.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Sarmiento,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Talleres,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Tigre,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Unión,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Vélez Sarsfield,90 s,12.0,Tiempo Jugado,Standard,For,Liga Profesional,Argentina,2024
Arg Juniors,Gls.,8.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Atlé Tucumán,Gls.,13.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Banfield,Gls.,9.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Barracas Central,Gls.,5.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Belgrano,Gls.,14.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Boca Juniors,Gls.,14.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Cen. Córdoba–SdE,Gls.,10.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Defensa y Just,Gls.,9.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Deportivo Riestra,Gls.,14.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Estudiantes,Gls.,14.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Gimnasia–LP,Gls.,13.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Godoy Cruz,Gls.,12.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Huracán,Gls.,12.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Independiente,Gls.,7.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Independiente Rivadavia,Gls.,8.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Instituto,Gls.,17.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Lanús,Gls.,17.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Newell's OB,Gls.,5.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Platense,Gls.,10.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Racing Club,Gls.,17.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
River Plate,Gls.,15.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Rosario Central,Gls.,13.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
San Lorenzo,Gls.,9.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Sarmiento,Gls.,8.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Talleres,Gls.,17.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Tigre,Gls.,14.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Unión,Gls.,14.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Vélez Sarsfield,Gls.,22.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Arg Juniors,Ass,6.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Atlé Tucumán,Ass,10.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Banfield,Ass,7.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Barracas Central,Ass,4.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Belgrano,Ass,10.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Boca Juniors,Ass,10.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Cen. Córdoba–SdE,Ass,4.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Defensa y Just,Ass,8.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Deportivo Riestra,Ass,6.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Estudiantes,Ass,8.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Gimnasia–LP,Ass,10.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Godoy Cruz,Ass,8.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Huracán,Ass,7.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Independiente,Ass,4.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Independiente Rivadavia,Ass,7.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Instituto,Ass,13.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Lanús,Ass,12.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Newell's OB,Ass,4.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Platense,Ass,7.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Racing Club,Ass,9.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
River Plate,Ass,8.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Rosario Central,Ass,11.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
San Lorenzo,Ass,4.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Sarmiento,Ass,5.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Talleres,Ass,13.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Tigre,Ass,12.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Unión,Ass,8.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Vélez Sarsfield,Ass,14.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Arg Juniors,G+A,14.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Atlé Tucumán,G+A,23.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Banfield,G+A,16.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Barracas Central,G+A,9.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Belgrano,G+A,24.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Boca Juniors,G+A,24.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Cen. Córdoba–SdE,G+A,14.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Defensa y Just,G+A,17.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Deportivo Riestra,G+A,20.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Estudiantes,G+A,22.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Gimnasia–LP,G+A,23.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Godoy Cruz,G+A,20.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Huracán,G+A,19.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Independiente,G+A,11.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Independiente Rivadavia,G+A,15.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Instituto,G+A,30.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Lanús,G+A,29.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Newell's OB,G+A,9.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Platense,G+A,17.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Racing Club,G+A,26.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
River Plate,G+A,23.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Rosario Central,G+A,24.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
San Lorenzo,G+A,13.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Sarmiento,G+A,13.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Talleres,G+A,30.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Tigre,G+A,26.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Unión,G+A,22.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Vélez Sarsfield,G+A,36.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Arg Juniors,G-TP,7.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Atlé Tucumán,G-TP,11.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Banfield,G-TP,8.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Barracas Central,G-TP,5.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Belgrano,G-TP,14.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Boca Juniors,G-TP,13.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Cen. Córdoba–SdE,G-TP,7.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Defensa y Just,G-TP,9.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Deportivo Riestra,G-TP,13.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Estudiantes,G-TP,12.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Gimnasia–LP,G-TP,12.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Godoy Cruz,G-TP,10.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Huracán,G-TP,10.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Independiente,G-TP,6.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Independiente Rivadavia,G-TP,8.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Instituto,G-TP,17.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Lanús,G-TP,17.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Newell's OB,G-TP,5.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Platense,G-TP,9.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Racing Club,G-TP,15.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
River Plate,G-TP,13.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Rosario Central,G-TP,13.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
San Lorenzo,G-TP,7.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Sarmiento,G-TP,7.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Talleres,G-TP,17.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Tigre,G-TP,13.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Unión,G-TP,12.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Vélez Sarsfield,G-TP,19.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Arg Juniors,TP,1.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Atlé Tucumán,TP,2.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Banfield,TP,1.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Barracas Central,TP,0.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Belgrano,TP,0.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Boca Juniors,TP,1.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Cen. Córdoba–SdE,TP,3.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Defensa y Just,TP,0.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Deportivo Riestra,TP,1.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
Estudiantes,TP,2.0,Rendimiento,Standard,For,Liga Profesional,Argentina,2024
